feature,mean_abs_shap
market_segment,0.11989474113858356
total_stay,0.09878922189606207
deposit_type,0.05066762689639009
arrival_date_month,0.04878401002078182
stays_in_week_nights,0.03734991950040854
arrival_season,0.03258975101235553
adults,0.031900946528581824
hotel,0.02792040404423176
distribution_channel,0.01343496597789636
customer_type,0.003215143424840477
children,0.0022079399544427843
previous_cancellations,0.0
previous_bookings_not_canceled,0.0
arrival_date_week_number,0.0
babies,0.0
country,0.0
agent,0.0
meal,0.0
reserved_room_type,0.0
stays_in_weekend_nights,0.0
