feature,dtype
hotel,category
lead_time,int16
arrival_date_year,int16
arrival_date_month,category
arrival_date_week_number,int8
arrival_date_day_of_month,int8
stays_in_weekend_nights,int8
stays_in_week_nights,int8
adults,int16
children,int8
babies,int8
meal,category
country,category
market_segment,category
distribution_channel,category
is_repeated_guest,int8
previous_cancellations,int8
previous_bookings_not_canceled,int8
deposit_type,category
customer_type,category
adr,float32
total_of_special_requests,int8
